"","d$nombre_act","d$latitud","d$longitud"
"338","Bufetes jurídicos",19.43278401,-99.14048666
"339","Bufetes jurídicos",19.43441066,-99.13745456
"340","Bufetes jurídicos",19.43246663,-99.1352428
"341","Bufetes jurídicos",19.43047512,-99.14813958
"342","Bufetes jurídicos",19.42704696,-99.14966766
"343","Bufetes jurídicos",19.36859326,-99.17600442
"344","Bufetes jurídicos",19.43396768,-99.15491444
"345","Bufetes jurídicos",19.43592861,-99.15218508
"346","Bufetes jurídicos",19.43323279,-99.15533288
"347","Bufetes jurídicos",19.42798762,-99.14270733
"348","Bufetes jurídicos",19.42580026,-99.15234707
"349","Bufetes jurídicos",19.43455689,-99.14376179
"350","Bufetes jurídicos",19.43455689,-99.14376179
"351","Bufetes jurídicos",19.43389769,-99.14741671
"352","Bufetes jurídicos",19.43358982,-99.14275475
"353","Bufetes jurídicos",19.43329251,-99.14280624
"354","Bufetes jurídicos",19.43455689,-99.14376179
"355","Bufetes jurídicos",19.43324255,-99.14986535
"356","Bufetes jurídicos",19.36988216,-99.17486094
"357","Bufetes jurídicos",19.436761,-99.19547302
"358","Bufetes jurídicos",19.43420363,-99.14188621
"359","Bufetes jurídicos",19.43330264,-99.14484972
"360","Bufetes jurídicos",19.43333319,-99.13937959
"361","Bufetes jurídicos",19.38996516,-99.17321689
"362","Bufetes jurídicos",19.41431896,-99.16725619
"363","Bufetes jurídicos",19.43282412,-99.14923705
"364","Bufetes jurídicos",19.42798762,-99.14270733
"365","Bufetes jurídicos",19.41748683,-99.15164929
"366","Bufetes jurídicos",19.42822569,-99.13341672
"367","Bufetes jurídicos",19.43441066,-99.13745456
"368","Bufetes jurídicos",19.41919376,-99.16260041
"369","Bufetes jurídicos",19.41959071,-99.16464844
"370","Bufetes jurídicos",19.39579031,-99.15818
"371","Bufetes jurídicos",19.43420363,-99.14188621
"372","Bufetes jurídicos",19.42015204,-99.1560791
"373","Bufetes jurídicos",19.40600305,-99.16342958
"374","Bufetes jurídicos",19.42734674,-99.15151582
"375","Bufetes jurídicos",19.41988482,-99.14724311
"376","Bufetes jurídicos",19.43716122,-99.15098797
"377","Bufetes jurídicos",19.43432645,-99.13801057
"378","Bufetes jurídicos",19.40660529,-99.16436981
"379","Bufetes jurídicos",19.42646185,-99.15619548
"380","Bufetes jurídicos",19.41816944,-99.14787308
"381","Bufetes jurídicos",19.43420363,-99.14188621
"382","Bufetes jurídicos",19.41816944,-99.14787308
"383","Bufetes jurídicos",19.41662097,-99.14782897
"384","Bufetes jurídicos",19.42595182,-99.15115764
"385","Bufetes jurídicos",19.40227679,-99.16848381
"386","Bufetes jurídicos",19.38210646,-99.17660055
"387","Bufetes jurídicos",19.435468,-99.14869714
"388","Bufetes jurídicos",19.40846474,-99.17227249
